date,symbol,part,source,detail,claimed,expected,gap,tol,status
2026-09-18,GOOGL,A,context,last price,,349.5400085449219,,,not_found
2026-09-18,GOOGL,A,context,1-day move %,,0.6362888486728613,,,not_found
2026-09-18,GOOGL,A,context,5-day move %,,3.2614500871261054,,,not_found
2026-09-18,GOOGL,A,context,20-day move %,,2.669644701137619,,,not_found
2026-09-18,GOOGL,A,context,distance from 60-day high %,,-7.383904080623049,,,not_found
2026-09-18,GOOGL,A,context,distance from 252-day high %,,-13.07595289172021,,,not_found
2026-09-18,GOOGL,A,context,20-day volatility %,,23.191214764540934,,,not_found
2026-09-18,GOOGL,A,context,RSI,,55.0885508213296,,,not_found
2026-09-18,GOOGL,A,context,engine confidence %,,50.0,,,not_found
2026-09-18,GOOGL,A,context,engine signal,,HOLD,,,not_found
2026-09-18,GOOGL,A,context,risk score,,42.0,,,not_found
2026-09-18,GOOGL,A,context,risk level,,MEDIUM,,,not_found
2026-09-18,GOOGL,A,context,macro line (verbatim),absent,present,,,not_found
2026-09-18,GOOGL,C,analyst:Behavioral Coach|gemini-3.7-flash,60,60.0,,,,unsupported
2026-09-18,GOOGL,C,analyst:Behavioral Coach|gemini-3.7-flash,+0.0%,0.0,,,,unsupported
2026-09-18,GOOGL,C,analyst:Behavioral Coach|gemini-3.7-flash,1.87x,1.87,,,,unsupported
2026-09-18,GOOGL,C,analyst:Behavioral Coach|gemini-3.7-flash,62.9,62.9,,,,unsupported
2026-09-18,GOOGL,C,analyst:Global Macro|gemini-3.6-flash,60,60.0,,,,unsupported
2026-09-18,GOOGL,C,analyst:Global Macro|gemini-3.6-flash,349.54,349.54,,,,unsupported
2026-09-18,GOOGL,C,analyst:Global Macro|gemini-3.6-flash,3.3%,3.3,,,,unsupported
2026-09-18,GOOGL,C,analyst:Global Macro|gemini-3.6-flash,1.87x,1.87,,,,unsupported
2026-09-18,GOOGL,C,analyst:Global Macro|gemini-3.6-flash,62.9,62.9,,,,unsupported
2026-09-18,GOOGL,C,analyst:Global Macro|gemini-3.6-flash,50%,50.0,,,,unsupported
2026-09-18,GOOGL,C,analyst:Value Investor|gemini-3.1-flash-lite,50%,50.0,,,,unsupported
2026-09-18,GOOGL,C,analyst:Value Investor|gemini-3.1-flash-lite,-0.46,-0.46,,,,unsupported
2026-09-18,GOOGL,C,analyst:Value Investor|gemini-3.1-flash-lite,19%,19.0,,,,unsupported
2026-09-18,GOOGL,C,analyst:Value Investor|gemini-3.1-flash-lite,60,60.0,,,,unsupported
2026-09-18,GOOGL,C,analyst:Technological Innovator|gemini-3.7-flash,60,60.0,,,,unsupported
2026-09-18,GOOGL,C,analyst:Technological Innovator|gemini-3.7-flash,349.54,349.54,,,,unsupported
2026-09-18,GOOGL,C,analyst:Technological Innovator|gemini-3.7-flash,1.87x,1.87,,,,unsupported
2026-09-18,GOOGL,C,analyst:Technological Innovator|gemini-3.7-flash,62.9,62.9,,,,unsupported
2026-09-18,GOOGL,C,analyst:Technological Innovator|gemini-3.7-flash,50%,50.0,,,,unsupported
2026-09-18,GOOGL,C,analyst:Risk Manager|gemini-3.6-flash,-0.46,-0.46,,,,unsupported
2026-09-18,GOOGL,C,analyst:Risk Manager|gemini-3.6-flash,19%,19.0,,,,unsupported
2026-09-18,GOOGL,C,analyst:Personal Context|gemini-3.6-flash,62.9,62.9,,,,unsupported
2026-09-18,GOOGL,C,analyst:Personal Context|gemini-3.6-flash,50%,50.0,,,,unsupported
2026-09-18,GOOGL,C,analyst:Personal Context|gemini-3.6-flash,-0.46,-0.46,,,,unsupported
2026-09-18,GOOGL,C,analyst:Personal Context|gemini-3.6-flash,19%,19.0,,,,unsupported
2026-09-18,GOOGL,C,analyst:Quantitative Strategist|gemini-3.6-flash,60,60.0,,,,unsupported
2026-09-18,GOOGL,C,analyst:Quantitative Strategist|gemini-3.6-flash,30,30.0,,,,unsupported
2026-09-18,GOOGL,C,analyst:Quantitative Strategist|gemini-3.6-flash,200,200.0,,,,unsupported
2026-09-18,GOOGL,C,analyst:Quantitative Strategist|gemini-3.6-flash,1.87x,1.87,,,,unsupported
2026-09-18,GOOGL,C,analyst:Quantitative Strategist|gemini-3.6-flash,62.9,62.9,,,,unsupported
2026-09-18,META,A,context,last price,,665.2250366210938,,,not_found
